order_id,order_date,customer_name,customer_email,product_id,price,quantity,total
1,2023-04-03 03:35:48.776918,Barbara Reyes,taylortiffany@example.org,15,117,2,234
2,2023-04-14 13:23:22.106795,Matthew Garcia,higginseric@example.com,11,33,5,165
3,2023-04-21 23:22:09.612490,Benjamin Sanford,gaustin@example.org,1,44,5,220
4,2023-04-20 16:06:21.883903,Jessica Gonzalez DDS,lrichard@example.net,17,123,4,492
5,2023-04-11 14:42:24.151465,Jennifer Ward,timothygonzalez@example.com,18,73,5,365
6,2023-04-16 15:10:41.982994,Jaime Nash,lynnphillips@example.net,19,411,5,2055
7,2023-04-27 23:03:09.970175,Sheryl Sexton,gibsoncarl@example.com,4,409,7,2863
8,2023-04-03 08:54:05.026629,Henry Young,pmendoza@example.net,17,123,9,1107
9,2023-04-05 22:31:03.549471,Jacqueline Vang,angela61@example.net,17,123,9,1107
10,2023-04-13 23:14:37.274295,Valerie Jones,david84@example.org,6,305,3,915
11,2023-04-01 03:36:47.690293,Jacob Hayes,craig22@example.net,12,95,2,190
12,2023-04-26 11:11:24.024429,Benjamin Smith,wongkevin@example.com,2,326,2,652
13,2023-04-15 23:59:40.019356,Angela Rogers,dthomas@example.org,6,305,7,2135
14,2023-04-19 01:26:04.758853,Alexis Rodgers,fryemark@example.com,20,351,3,1053
15,2023-04-21 06:41:14.426492,Christopher Simpson,jamesmurphy@example.com,8,272,3,816
16,2023-04-25 01:02:29.560552,James Payne,gonzalesmichelle@example.net,5,398,5,1990
17,2023-04-07 13:36:22.088877,Micheal Adams,amberpratt@example.net,1,44,2,88
18,2023-04-19 01:13:48.935297,Derek Perez,smithkaren@example.org,2,326,6,1956
19,2023-04-19 02:35:53.322251,Leah Singleton,sarah89@example.com,18,73,6,438
20,2023-04-20 21:03:42.603131,Jennifer Yang,ericanguyen@example.net,20,351,6,2106
21,2023-04-02 08:48:31.413563,Johnny Schultz,joan65@example.com,1,44,5,220
22,2023-04-17 06:55:56.050783,Jonathan Lee DDS,jesse34@example.net,12,95,3,285
23,2023-04-08 21:02:46.300577,John Henry,gbarnett@example.net,15,117,6,702
24,2023-04-29 14:59:54.712106,Duane Mendoza,cmartinez@example.org,6,305,8,2440
25,2023-04-08 08:27:44.999095,Chris Brown,chadjohnson@example.net,6,305,2,610
26,2023-04-13 20:29:09.106667,Carla Maynard,nicole03@example.org,19,411,8,3288
